<<<<<<< HEAD
2-6 c: fcpwjqhcgtffzlbj
6-9 x: xxxtwlxxx
5-6 w: wwwwlwwwh
7-10 q: nfbrgwqlvljgq
2-3 g: gjggg
9-11 q: qqqqqqnqgqq
14-20 b: bbbbbbbbbbbbzwbbbbbb
2-6 s: sjsssss
4-13 b: mdbctbzgcpdjbhsdctrd
5-6 t: tttttt
7-9 h: zbhhfmwhhpxh
3-4 t: ttmt
4-6 j: jjjjjj
12-13 w: wwwwwwwwwwwwkw
3-4 f: sgbmjfftf
11-12 p: pdppppppppcppp
5-9 q: qqqqqvsqdjq
5-8 j: qsljqmxwk
1-7 w: gwvktwwwkwwww
2-3 w: gvwcvrggjbk
1-4 d: kddd
13-14 k: zkkpkkkkkksskp
2-5 w: wwwwfw
4-5 n: bnrnlnnkdvhbnnj
7-17 s: kswscfssbssztsgwmdr
9-14 h: hhhhhhhvhhhhhbhhhhh
1-2 s: sgvmzrpssss
1-4 x: xxvgbxwxqx
5-9 b: bbbbbbqbdbbzbxb
6-10 d: ndddkqdddd
8-9 z: zzqvkhpzzhx
10-11 k: jrktpgkvkqk
2-4 l: lklf
14-16 c: cxqccccccccccctccc
1-2 g: bsmmpkmd
4-16 q: vmqdqktlqqnhzqqx
6-12 k: kqkwkktfbklkjnkqrtmb
15-16 v: vvvvvvvvvvvvvvxt
12-13 r: rrrrrrsrrrrrx
5-7 p: ppbqlppppp
5-8 s: dxmsqssk
3-4 m: mxmlmm
6-7 c: kcfcbhcc
4-6 z: zzzxzxz
12-14 r: rrrrmrrrrrrrrkkltr
4-6 j: zhbtgg
5-7 r: rrdrrrzrr
1-3 x: rxcxxxxxxxxxxxxx
5-7 g: ggggggvgmcg
12-15 n: nnnnnnnnnnnnnnhn
4-6 p: qppppppp
9-12 j: pjjsmbjjjjjj
3-16 b: bhgbtjhqvkpgcbgbpbz
2-7 q: mqfhknwswqjxjncxjt
6-16 c: wclpphqjcmbzdwccp
13-15 k: dkkdkkkkkkkknkkcn
7-9 b: blfbbbhvz
14-18 w: wwwwwwwvwvwwwwwwwc
11-18 w: xstwwbwwwwwwtrbwww
3-14 z: zdgxzpvzjztfzzrpjz
7-10 j: mjrxjstdnj
10-13 f: ffrfqflffftjkf
1-4 j: jnjtjfj
8-9 g: wtbqjjggjfcvgs
2-7 z: qpwvvjcpzf
3-4 k: kfgk
6-12 l: lllllllllllw
14-15 n: nnnnnnnnnnnnnpr
10-11 p: prcpwdzmcqp
12-14 v: vvvrvvvqvvvschvvzvv
1-11 q: jqqqkfqqqqqqqqwqq
11-12 j: jjjjjjjjjjtj
2-6 x: nqxxxx
7-17 s: blbvqsssssssnslgswz
9-10 s: ssssssssbsss
1-2 t: ttvqtt
3-8 w: bsddhgwb
1-2 r: jrxdfg
8-9 j: ljjjjjjljfmj
1-3 j: jjjjjjjjjdkjj
4-13 f: jfffmsffmfxrmhnf
1-4 s: sswvjx
4-8 b: btfgtwkvdfqkwv
2-3 p: tptddqdkgdfcbxxrpv
1-4 p: dspz
14-16 d: ddddhdvdddddtddh
6-9 l: hnvrpllsl
4-5 h: hjhzhnh
3-10 b: zsvjzttjnbbgdt
12-15 c: ccjscwcccdcccccl
1-9 j: xjjjkjjlj
1-9 m: gngmvxqmmmmhmmml
9-10 k: kkkkkkkkpc
13-14 q: qrsxtpgpnhcrkq
3-6 k: pkjcks
1-3 t: ttjtt
10-15 f: sjwnfftrffptbqltg
3-4 b: nwbtnz
5-7 k: kkkkkkdk
14-18 l: lglllllllllllllllrpl
1-14 q: fqqqqqqdqqqqvd
16-18 p: pppppppppppppppppn
3-7 l: lllllgvx
2-5 b: pbbkcbbbbbg
7-9 c: bcnjkzxccl
4-5 x: cwxxfxtmqtxxp
10-11 d: dddddwcxdvddbdddd
3-5 v: vvvvlvv
4-7 m: mmmmmltldmmmbk
13-14 s: sssssssssssssks
4-6 s: ssslszs
15-16 z: dzbzfxmpzhrrszzf
5-12 x: xrzxxxgxtcxxxxxx
17-19 g: ggggggggggggggxwjgq
12-13 n: nnnnnnhnnnnjn
8-10 l: llllllltllldlll
9-14 t: fttftqttmtkstdf
4-11 l: nnlljlhllllx
